,people_ID,Infect_prob
0,5942,50.68474
1,18664,50.563156
2,5603,51.56959
3,5649,50.514904
4,5099,50.466034
5,18749,50.68019
6,5228,50.389793
7,5559,50.475513
8,5220,50.68245
9,5476,50.501907
10,5260,50.559044
11,17638,50.540916
12,18635,51.00518
13,18794,38.44237
14,5263,50.45369
15,17680,74.10422
16,18030,50.37585
17,18090,50.53521
18,18455,50.54886
19,18155,50.407745
20,18116,51.31226
21,18144,50.421227
22,5218,53.194504
23,5386,50.80932
24,18105,66.60959
25,5735,50.442627
26,5900,50.432327
27,18391,50.554916
28,5786,50.796974
29,18639,50.271126
30,17984,51.112984
31,18274,52.151184
32,5425,48.900524
33,6076,51.524612
34,18545,50.39152
35,17697,46.252747
36,6137,50.416725
37,6083,50.68595
38,17730,50.335304
39,5896,38.011642
40,18906,50.54627
41,17808,50.38741
42,6078,51.224617
43,5516,50.36219
44,18093,50.555412
45,6120,50.534393
46,18154,50.536255
47,17935,50.669884
48,18769,42.47377
49,18264,50.508827
50,18076,47.939255
51,18035,50.38246
52,18051,50.370464
53,18676,50.45791
54,5332,50.97928
55,5898,57.3576
56,18370,50.293114
57,17706,50.352642
58,5198,51.05198
59,18360,50.47622
60,18240,50.28145
61,18691,50.369232
62,5768,50.624344
63,18315,50.373405
64,18776,50.632675
65,6225,50.449318
66,17983,43.12758
67,17973,50.841026
68,5805,36.818264
69,5500,50.434998
70,5305,50.770996
71,18243,50.35991
72,5169,50.62581
73,5258,50.318436
74,17810,63.65847
75,5714,50.623253
76,6070,50.352943
77,5959,48.239853
78,18771,50.370247
79,17765,50.438076
80,18822,50.209473
81,17735,52.648952
82,17966,50.324566
83,18861,50.52456
84,18236,50.414413
85,18750,72.753075
86,17809,55.25332
87,6049,49.806244
88,18465,50.703056
89,6201,50.690193
90,18877,50.207607
91,5087,50.23887
92,17742,50.203552
93,17941,67.449905
94,18421,50.503887
95,18489,50.265682
96,6299,42.74513
97,18428,50.096
98,5563,72.186714
99,18796,71.03304
100,5849,50.1967
101,5661,50.245247
102,5893,50.191288
103,5378,68.18419
104,5622,50.49072
105,5823,50.125637
106,18521,49.350418
107,5502,50.165874
108,18785,50.19626
109,17783,50.3499
110,18424,68.16084
111,18147,50.36082
112,18881,51.020683
113,18851,50.16934
114,17686,50.16765
115,5100,50.19837
116,5213,50.215984
117,18252,50.114014
118,5576,50.328213
119,18050,50.095978
120,5875,50.10946
121,6059,50.17045
122,18599,50.119568
123,5173,50.242256
124,5461,50.3653
125,5151,48.122948
126,5266,50.337204
127,5514,35.566536
128,5224,50.279488
129,18069,50.152267
130,5587,52.408104
131,17874,51.205566
132,5536,50.075283
133,5215,50.18102
134,5400,47.960613
135,17857,50.07898
136,6043,49.398872
137,18330,50.101265
138,18333,50.134636
139,17788,50.06936
140,18332,76.56993
141,17836,50.14088
142,5247,50.77908
143,5922,50.105072
144,18641,51.953476
145,5951,49.546036
146,18807,50.059673
147,18293,56.165264
148,18775,50.136818
149,5601,50.09366
150,5102,50.177364
151,18464,49.94213
152,17713,50.08172
153,18557,49.967163
154,18854,50.10313
155,18401,50.160606
156,18699,58.342747
157,5706,63.236496
158,5747,50.20067
159,5496,50.04445
160,18308,50.149986
161,5345,69.37875
162,18525,50.06627
163,18258,56.848904
164,6062,49.99925
165,17921,50.114773
166,5303,49.9576
167,18592,50.721992
168,5814,49.98819
169,18805,49.97441
170,5910,50.16868
171,5201,50.07743
172,5724,85.43938
173,17693,50.236366
174,5407,50.09615
175,18617,50.018524
176,18173,49.862804
177,18875,50.070747
178,5225,49.855064
179,5858,50.04101
180,5091,50.03937
181,5254,49.91122
182,18801,50.112457
183,6009,49.963333
184,18149,49.983437
185,6105,50.03044
186,5974,49.711193
187,17967,55.5259
188,5781,49.711456
189,5834,50.063366
190,17683,50.156662
191,5338,49.812943
192,18400,47.8189
193,18633,49.9979
194,6162,49.9583
195,18598,50.02323
196,5212,49.946556
197,18731,50.39692
198,18177,49.977955
199,5232,41.187435
200,5753,50.035027
201,5118,49.903305
202,18055,52.36206
203,18151,61.021744
204,5572,49.990547
205,18502,49.982468
206,18178,49.985558
207,6276,50.23049
